21#00#04#INSPEKCE PČR 4. ODD.#1#
21#00#05#INSPEKCE PČR 5. ODD.#1#
21#00#10#INSPEKCE PČR 10. ODD. PRAHA#1#
21#00#11#INSPEKCE PČR 12. ODD. STČ. KRAJE#1#
21#00#12#INSPEKCE PČR 9. ODD. Č. BUDĚJOVICE#1#
21#00#13#INSPEKCE PČR 8. ODD. PLZEŇ#1#
21#00#14#INSPEKCE PČR 6. ODD. ÚSTÍ NAD LABEM#1#
21#00#15#INSPEKCE PČR 7. ODD. HRADEC KRÁLOVÉ#1#
21#00#16#INSPEKCE PČR 11. ODD. BRNO#1#
21#00#17#INSPEKCE PČR 3. ODD. OSTRAVA#1#
21#00#24#INSPEKCE PČR 3. ODD. OLOMOUC#1#
21#00#25#INSPEKCE PČR 11. ODD. ZLÍN#1#
21#00#26#INSPEKCE PČR 11. ODD. JIHLAVA#1#
21#00#27#INSPEKCE PČR 7. ODD. PARDUBICE#1#
21#00#28#INSPEKCE PČR 6. ODD. LIBEREC#1#
21#00#29#INSPEKCE PČR 8. ODD. KARLOVY VARY#1#
20#04#00#ETŘ PČR ÚOOZ SKPV#1#
20#04#01#ÚOOZ ODB. ZÁVAŽNÉ MAJETKOVÉ TČ#1#
20#04#35#ÚOOZ EXP. HRADEC KRÁLOVÉ#1#
20#03#00#ETŘ PČR NPC SKPV#1#
20#02#00#ETŘ PČR ÚOKFK SKPV#1#
20#02#03#PČR ÚOKFK SKPV ODB. DANÍ#1#
20#02#04#PČR ÚOKFK SKPV ODB. ZÁV.HOSP. TČ#1#
20#02#06#PČR ÚOKFK SKPV ODB. KOR. A OCHR. EU#1#
20#02#37#PČR ÚOKFK SKPV - EXP. OSTRAVA#1#
20#01#80#ESSK - PP ČR ÚSKPV OHK#1#
