00#11#10#MOP BARTOLOMĚJSKÁ PRAHA I.
00#11#11#MOP BENEDIKTSKÁ PRAHA I.
00#11#12#MOP MALÁ STRANA PRAHA I.
00#11#14#MOP KRAKOVSKÁ PRAHA I.
00#11#15#MOP BŘEVNOV PRAHA I.
00#11#16#MOP DEJVICE PRAHA I.
00#11#17#MOP VOKOVICE PRAHA I.
00#11#18#MOP ŘEPY PRAHA I.
00#11#19#MOP RUZYNĚ PRAHA I.
00#11#20#MOP HOLEŠOVICE PRAHA I.
00#11#21#MOP LETNÁ PRAHA I.
00#11#22#MOP VÝSTAVIŠTĚ PRAHA I.
00#11#50#MOP MASARYKOVO N. PRAHA I
00#11#51#MOP HOLEŠOVICKÉ N. PRAHA I
00#12#10#MOP NOVÉ MĚSTO OŘP PRAHA II.
00#12#11#MOP VINOHRADY OŘP PRAHA II.
00#12#12#MOP KOŠÍŘE OŘP PRAHA II.
00#12#13#MOP SMÍCHOV OŘP PRAHA II.
00#12#14#MOP BARRANDOV OŘP PRAHA II.
00#12#15#MOP RADOTÍN OŘP PRAHA II.
00#12#16#MOP STODŮLKY OŘP PRAHA II.
00#12#17#MOP ZLIČÍN OŘP PRAHA II.
00#12#50#MOP WILSONOVO NÁDRAŽÍ
00#12#51#MOP SMÍCHOVSKÉ NÁDRAŽÍ
00#13#10#MOP JAROV PRAHA III.
00#13#11#MOP ŽIŽKOV PRAHA III.
00#13#12#MOP KARLÍN PRAHA III.
00#13#13#MOP KOBYLISY PRAHA III.
00#13#14#MOP LIBEŇ PRAHA III.
00#13#15#MOP BOHNICE PRAHA III.
00#13#16#MOP ĎÁBLICE PRAHA III.
00#13#17#MOP ČAKOVICE PRAHA III.
00#13#18#MOP KYJE PRAHA III.
00#13#19#MOP PROSEK PRAHA III.
00#13#20#MOP VYSOČANY PRAHA III.
00#13#21#MOP HORNÍ POČERNICE PRAHA III.
00#13#22#MOP LETŇANY PRAHA III.
00#13#23#MOP ÚJEZD NAD LESY PRAHA III.
00#14#10#MOP MODŘANY PRAHA IV.
00#14#11#MOP LHOTKA PRAHA IV.
00#14#12#MOP PODOLÍ PRAHA IV.
00#14#13#MOP SPOŘILOV PRAHA IV.
00#14#14#MOP NUSLE PRAHA IV.
00#14#15#MOP JIŽNÍ MĚSTO PRAHA IV.
00#14#17#MOP PANKRÁC PRAHA IV.
00#14#18#MOP HOSTIVAŘ PRAHA IV.
00#14#19#MOP VRŠOVICE PRAHA IV.
00#14#20#MOP STRAŠNICE PRAHA IV.
00#14#21#MOP ZAHRADNÍ MĚSTO PRAHA IV.
00#14#22#MOP UHŘINĚVES PRAHA IV.
01#01#10#OOP BENEŠOV
01#01#11#OOP ČECHTICE
01#01#12#OOP ČERČANY
01#01#14#OOP SÁZAVA
01#01#17#OOP TÝNEC NAD SÁZAVOU
01#01#18#OOP VLAŠIM
01#01#19#OOP VOTICE
01#03#11#OOP KLADNO - KROČEHLAVY
01#03#12#OOP KLADNO - KROČEHLAVY
01#03#14#OOP KLADNO
01#03#17#OOP SLANÝ
01#03#19#OOP STOCHOV
01#03#20#OOP KLADNO - VENKOV
01#03#21#OOP UNHOŠŤ
01#03#22#OOP VELVARY
01#04#10#OOP ČESKÝ BROD
01#04#11#OOP KOLÍN
01#04#12#OOP KOSTELEC NAD ČERNÝMI LESY
01#04#13#OOP KOUŘIM
01#04#16#OOP TÝNEC NAD LABEM
01#04#18#OOP PEČKY
01#05#10#OOP ČÁSLAV
01#05#11#OOP ZRUČ NAD SÁZAVOU
01#05#12#OOP KUTNÁ HORA
01#05#15#OOP UHLÍŘSKÉ JANOVICE
01#05#17#OOP ZBRASLAVICE
01#06#10#OOP KOSTELEC NAD LABEM
01#06#11#OOP KRALUPY NAD VLTAVOU
01#06#12#OOP LUŽEC NAD VLTAVOU
01#06#13#OOP MĚLNÍK
01#06#14#OOP MŠENO
01#06#15#OOP NERATOVICE
01#06#17#OOP VOJKOVICE
01#06#18#OOP HORNÍ POČÁPLY
01#07#11#OOP BĚLÁ POD BEZDĚZEM
01#07#12#OOP BENÁTKY NAD JIZEROU
01#07#13#OOP MLADÁ BOLESLAV II
01#07#14#OOP DOBROVICE
01#07#17#OOP MLADÁ BOLESLAV
01#07#18#OOP MNICHOVO HRADIŠTĚ
01#08#10#OOP KŘINEC
01#08#11#OOP LYSÁ NAD LABEM
01#08#12#OOP MĚSTEC KRÁLOVÉ
01#08#13#OOP MILOVICE
01#08#14#OOP NYMBURK
01#08#16#OOP PODĚBRADY
01#08#17#OOP SADSKÁ
01#11#10#OOP BŘEZNICE
01#11#12#OOP DOBŘÍŠ
01#11#15#OOP MILÍN
01#11#19#OOP PŘÍBRAM
01#11#20#OOP ROŽMITÁL POD TŘEMŠÍNEM
01#11#21#OOP SEDLČANY
01#11#23#OOP PŘÍBRAM - VENKOV
01#12#11#OOP HOŘESEDLY
01#12#12#OOP JESENICE
01#12#13#OOP ROZTOKY
01#12#15#OOP NOVÉ STRAŠECÍ
01#12#16#OOP RAKOVNÍK
02#01#10#OOP ČESKÉ BUDĚJOVICE
02#01#11#OOP ČTYŘI DVORY
02#01#12#OOP SUCHÉ VRBNÉ
02#01#13#OOP HLUBOKÁ NAD VLTAVOU
02#01#14#OOP BORŠOV NAD VLTAVOU
