01#01#10#OOP BENEŠOV#1#
01#01#11#OOP ČECHTICE#1#
01#01#12#OOP ČERČANY#1#
01#01#14#OOP SÁZAVA#1#
01#01#17#OOP TÝNEC NAD SÁZAVOU#1#
01#01#18#OOP VLAŠIM#1#
01#01#19#OOP VOTICE#1#
01#02#10#OOP BEROUN#1#
01#02#11#OOP HOŘOVICE#1#
01#02#13#OOP KARLŠTEJN#1#
01#02#14#OOP KRÁLŮV DVŮR#1#
01#02#16#OOP ZDICE#1#
06#01#11#OOP BLANSKO#1#
06#01#12#OOP BOSKOVICE#1#
06#01#13#OOP ČERNÁ HORA#1#
06#01#16#OOP LETOVICE#1#
06#02#10#OOP BRNO - STŘED#1#
06#02#11#OOP BRNO - ŽABOVŘESKY#1#
06#02#12#OOP BRNO - SEVER#1#
06#02#13#OOP BRNO - ŽIDENICE#1#
06#02#14#OOP BRNO - KRÁLOVO POLE#1#
06#02#16#OOP BRNO - KOMÁROV#1#
06#02#18#OOP BRNO - VÝSTAVIŠTĚ#1#
06#02#19#OOP BRNO - BYSTRC#1#
06#02#50#OŽP BRNO#1#
06#03#10#OOP ŠLAPANICE#1#
06#03#12#OOP IVANČICE#1#
06#03#13#OOP KUŘIM#1#
06#03#15#OOP ROSICE#1#
06#03#17#OOP TIŠNOV#1#
06#03#20#OOP ŽIDLOCHOVICE#1#
06#03#22#OOP RAJHRAD#1#
07#01#10#OOP BRUNTÁL#1#
07#01#11#OOP BŘIDLIČNÁ#1#
07#01#12#OOP HORNÍ BENEŠOV#1#
07#01#13#OOP KRNOV#1#
07#01#14#OOP MĚSTO ALBRECHTICE#1#
07#01#15#OOP MORAVSKÝ BEROUN#1#
07#01#16#OOP RÝMAŘOV#1#
07#01#17#OOP VRBNO POD PRADĚDEM#1#
06#04#10#OOP BŘECLAV#1#
06#04#12#OOP HUSTOPEČE#1#
06#04#15#OOP MIKULOV#1#
06#04#16#OOP POHOŘELICE#1#
06#04#17#OOP VELKÉ PAVLOVICE#1#
04#01#10#OOP CVIKOV#1#
04#01#11#OOP ČESKÁ LÍPA#1#
04#01#12#OOP DOKSY#1#
04#01#15#OOP MIMOŇ#1#
04#01#16#OOP NOVÝ BOR#1#
04#01#17#OOP STRÁŽ POD RALSKEM#1#
04#01#20#OOP ŽANDOV#1#
04#01#21#OOP JABLONNÉ V PODJEŠTĚDÍ#1#
02#01#10#OOP Č. BUDĚJOVICE#1#
02#01#11#OOP Č. BUDĚJOVICE-ČTYŘI DVORY#1#
02#01#12#OOP Č. BUDĚJOVICE-SUCHÉ VRBNÉ#1#
02#01#13#OOP HLUBOKÁ NAD VLTAVOU#1#
02#01#14#OOP BORŠOV NAD VLTAVOU#1#
02#01#16#OOP LIŠOV#1#
02#01#18#OOP ŠEVĚTÍN#1#
02#01#19#OOP TRHOVÉ SVINY#1#
02#01#20#OOP TÝN NAD VLTAVOU#1#
02#01#21#OOP ZLIV#1#
02#01#50#OŽP Č. BUDĚJOVICE#1#
02#02#11#OOP ČESKÝ KRUMLOV#1#
02#02#13#OOP HORNÍ PLANÁ#1#
02#02#15#OOP KAPLICE#1#
02#02#16#OOP KŘEMŽE#1#
02#02#17#OOP LIPNO#1#
02#02#18#OOP VĚTŘNÍ#1#
02#02#19#OOP VYŠŠÍ BROD#1#
04#02#10#OOP BENEŠOV NAD PLOUČNICÍ#1#
04#02#12#OOP ČESKÁ KAMENICE#1#
04#02#13#OOP DĚČÍN#1#
04#02#14#OOP KRÁSNÁ LÍPA#1#
04#02#15#OOP HŘENSKO#1#
04#02#16#OOP RUMBURK#1#
04#02#17#OOP ŠLUKNOV#1#
04#02#18#OOP VARNSDORF#1#
04#02#19#OOP VELKÝ ŠENOV#1#
04#02#50#OŽP DĚČÍN#1#
03#01#11#OOP DOMAŽLICE#1#
03#01#12#OOP HOLÝŠOV#1#
03#01#13#OOP HORŠOVSKÝ TÝN#1#
03#01#14#OOP KDYNĚ#1#
03#01#15#OOP POBĚŽOVICE#1#
07#02#11#OOP BRUŠPERK#1#
07#02#13#OOP NOŠOVICE#1#
07#02#14#OOP FRÝDEK-MÍSTEK#1#
07#02#15#OOP FRÝDLANT NAD OSTRAVICÍ#1#
07#02#16#OOP HNOJNÍK#1#
07#02#17#OOP JABLUNKOV#1#
07#02#18#OOP PALKOVICE#1#
07#02#19#OOP KRÁSNÁ#1#
07#02#21#OOP TŘINEC#1#
07#02#22#OOP VRATIMOV#1#
05#01#10#OOP GOLČŮV JENÍKOV#1#
05#01#12#OOP HAVLÍČKŮV BROD#1#
05#01#13#OOP CHOTĚBOŘ#1#
05#01#14#OOP LEDEČ NAD SÁZAVOU#1#
05#01#15#OOP PŘIBYSLAV#1#
05#01#16#OOP SVĚTLÁ NAD SÁZAVOU#1#
06#06#10#OOP BZENEC#1#
06#06#12#OOP DUBŇANY#1#
06#06#13#OOP HODONÍN#1#
06#06#14#OOP KYJOV#1#
06#06#15#OOP STRÁŽNICE#1#
06#06#17#OOP VESELÍ NAD MORAVOU#1#
05#02#10#OOP HRADEC KRÁLOVÉ 1#1#
05#02#11#OOP HRADEC KRÁLOVÉ 2#1#
05#02#12#OOP CHLUMEC NAD CIDLINOU#1#
05#02#14#OOP NECHANICE#1#
05#02#15#OOP NOVÝ BYDŽ0V#1#
05#02#16#OOP HOLOHLAVY#1#
05#02#17#OOP TŘEBECHOVICE#1#
05#02#18#OOP HRADEC KRÁLOVÉ 3.#1#
05#02#50#OŽP HRADEC KRÁLOVÉ#1#
03#02#10#OOP AŠ#1#
03#02#11#OOP FRANTIŠKOVY LÁZNĚ#1#
03#02#13#OOP CHEB - MĚSTO#1#
03#02#14#OOP LÁZNĚ KYNŽVART#1#
03#02#15#OOP MARIÁNSKÉ LÁZNĚ#1#
03#02#17#OOP PLESNÁ#1#
03#02#20#OOP CHEB - VENKOV#1#
04#03#10#OOP BŘEZNO#1#
04#03#11#OOP CHOMUTOV MĚSTO#1#
04#03#12#OOP JIRKOV#1#
04#03#13#OOP KADAŇ#1#
04#03#14#OOP KLAŠTEREC NAD OHŘÍ#1#
04#03#15#OOP RADONICE#1#
04#03#19#OOP VEJPRTY#1#
04#03#21#OOP CHOMUTOV KAMENNÁ#1#
04#03#23#OOP CHOMUTOV ČERNOVICKÁ#1#
05#03#10#OOP HEŘMANŮV MĚSTEC#1#
05#03#11#OOP HLINSKO#1#
05#03#12#OOP CHRAST#1#
05#03#13#OOP CHRUDIM#1#
05#03#17#OOP SKUTEČ#1#
05#03#18#OOP TŘEMOŠNICE#1#
04#04#10#OOP JABLONEC N/NISOU#1#
04#04#11#OOP MŠENO N/NISOU MŠENO#1#
04#04#12#OOP RYCHNOV U JABLONCE N/NISOU#1#
04#04#13#OOP SMRŽOVKA#1#
04#04#14#OOP TANVALD#1#
04#04#16#OOP ŽELEZNÝ BROD#1#
07#11#10#OOP JESENÍK#1#
07#11#11#OOP JAVORNÍK#1#
07#11#12#OOP ZLATÉ HORY#1#
05#04#10#OOP HOŘICE#1#
05#04#11#OOP JIČÍN#1#
05#04#12#OOP KOPIDLNO#1#
05#04#14#OOP NOVÁ PAKA#1#
05#04#15#OOP SOBOTKA#1#
06#07#11#OOP JIHLAVA#1#
06#07#13#OOP POLNÁ#1#
06#07#15#OOP TELČ#1#
06#07#16#OOP TŘEŠŤ#1#
02#03#10#OOP DAČICE#1#
02#03#12#OOP JINDŘICHŮV HRADEC#1#
02#03#15#OOP NOVÁ BYSTŘICE#1#
02#03#17#OOP SLAVONICE#1#
02#03#21#OOP STUDENÁ#1#
02#03#22#OOP SUCHDOL NAD LUŽNICÍ#1#
02#03#23#OOP TŘEBOŇ#1#
03#03#10#OOP BEČOV NAD TEPLOU#1#
03#03#11#OOP BOCHOV#1#
03#03#12#OOP JÁCHYMOV#1#
03#03#13#OOP KARLOVY VARY#1#
03#03#14#OOP KARLOVY VARY - RYBÁŘE#1#
03#03#15#OOP KYSELKA#1#
03#03#16#OOP NEJDEK#1#
03#03#17#OOP NOVÁ ROLE#1#
03#03#18#OOP OSTROV#1#
