Kód#Heslo#Poznámka
1#spontánně doznává trestnou činnost# 
2#trest. činnost doznává jen částečně nebo doznává jen méně závaznou tr. činnost# 
3#doznání ke spáchání trestné činnosti podmiňuje získáním příslibu nějaké výhody# 
4#tr.činnost doznává až po předložení důkazů či při konfrontaci# 
5#tr.činnost doznává až po déle trvajícím výslechu# 
6#uvádí další účastníky spáchané tr.činnosti#spolupachatele, návodce, podílníky, překupníky apod.
7#doznává nespáchanou trestnou činnost# 
8#předstírá, že si nic nepamatuje# 
9#popírá tr. činnost i po předložení důkazů či po konfrontaci# 
0#jiný způsob nebo nepřichází v úvahu#změna
