1#referent - rotný
2#vrchní referent - strážmistr
3#asistent - nadstrážmistr
4#vrchní asistent - podpraporčík
5#inspektor - praporčík
6#inspektor - nadpraporčík
7#vrchní inspektor - nadpraporčík
8#vrchní inspektor - podporučík
9#komisař - poručík
10#komisař - nadporučík
11#vrchní komisař - kapitán
12#vrchní komisař - major
13#rada - podplukovník
14#rada - plukovník
15#vrchní rada - plukovník
16#vrchní státní rada - plukovník
17#vrchní rada, vrchní státní rada - generálské hodnosti
