11#uhelné doly# 
12#plynárny a rozvod plynu# 
13#tranzitní PLYNOVOD# 
10#ostatní objekty paliv# 
##
#Energetika#
21#elektrárny# 
22#rozvod elektřiny# 
23#teplárny a rozvod tepla# 
20#ostatní objekty energetiky# 
##
#Hutnictví železa#
31#železorudné doly# 
32#hutní výroba a druhovýroba# 
33#Kovošrot# 
30#ostatní objekty hutnictví železa# 
##
#Hutnictví neželezných kovů#
41#rudné doly a uranový průmysl# 
42#kovohutě# 
40#ostatní objekty hutnictví neželezných kovů# 
##
#Chemický a gumárensko-osikový průmysl#
51#těžká chemie# 
52#petrochemie# 
53#pneumatiky# 
54#umělé hmoty a látky# 
55#pohonné hmoty# 
56#tranzitní ROPOVOD# 
50#ostatní objekty v chem. a gum.-osik. průmyslu# 
##
#Těžké strojírenství#
61#montážní organizace těžkého strojírenství# 
60#ostatní objekty těžkého strojírenství# 
##
#Všeobecné strojírenství#
71#automobilový průmysl# 
70#ostatní objekty všeobecného stroj.# 
##
#Spotřební průmysl (celkem)#
81#dřevařský průmysl# 
82#textilní a konfekční průmysl# 
83#kožedělný a kožešnický průmysl# 
84#sklářský průmysl# 
85#polygrafický průmysl# 
86#porcelánky a keramický průmysl# 
87#papírny a výrobky celulózy# 
80#ostatní objekty spotřebního průmyslu# 
##
#Výrobní družstva#
101#kovozpracující družstva# 
102#dřevozpracující družstva# 
103#chemická družstva# 
104#sklářská a keramická družstva# 
105#kožedělná a kožešnická družstva# 
106#stavební družstva# 
100#neprůmyslová a ostatní družstva# 
##
#Stavebnictví (celkem)#
121#výstavba investičních celků# 
122#bytová a občanská výstavba# 
123#výroba stavebních hmot#(kromě podniků MH, výrobních družstev apod. podniků)
124#okresní stavební podniky# 
125#družstevní bytová výstavba# 
126#Staviva# 
120#ostatní objekty stavebnictví# 
##
141#Geologie# 
##
#Spoje#
191#poštovní úřady# 
192#poštovní novinová služba#(PNS)
193#poštovní filatelistická služba#(POFIS)
194#telekomunikace# 
190#ostatní objekty spojů# 
##
#Doprava vodní a letecká#
201#doprava vodní# 
202#doprava letecká# 
##
#Doprava silniční a městská#
211#nákladní doprava vnitrostátní# 
212#nákladní doprava mezinárodní#(TIR)
