Kód#Heslo#
11#kanceláře# 
12#pokladny podniků a organizací# 
13#pokladny prodeje jízdenek, vstupenek# 
14#peněžní přepážky# 
15#zabudované trezory# 
16#bankomaty# 
21#výrobní a provozní místa - prostory (dílny, haly, staveniště apod.)# 
22#prodejní prostory (včetně restaurací, jídelen, kaváren, barů apod.)# 
23#údržbářské a opravárenské dílny a zařízení# 
24#skladovací prostory# 
25#laboratoře# 
26#trafostanice a rozvody elektrického proudu# 
27#písárny a rozmnožovny# 
28#lékařské ordinace# 
29#recepce#nový kód
31#jídelny závodní, školní, nemocniční aj. včetně příručních skladů# 
32#kantýny, bufety a prodejny občerstvení umístěné v závodě, úřadě# 
33#prodejní a hrací automaty# 
34#telefonní budky a automaty# 
35#počítače# 
36#osobní věci z nákupních vozíků a košíků v nákupním prostoru (na krádeže na osobách)# 
40#pokoje v nemocnicích#nový kód
41#šatny, čekárny, odkládací místnosti a šatní skříňky#změna
42#místnosti pro přechodné ubytování# 
43#učebny a posluchárny, čítárny včetně kabinetů# 
44#autobusy# 
45#tramvaje a trolejbusy# 
46#vagóny METRA# 
51#vagóny železniční - osobní# 
52#vagóny železniční - jídelní, lehátkové a lůžkové# 
53#vagóny železniční - nákladní# 
54#letadla# 
55#lodě a parníky# 
56#maringotky pracovních čet#změna
57#sklady výbušnin, zbraní a střeliva# 
59#kabiny na koupalištích a plovárnách# 
61#byty ve vlastnictví podniků a soukromých společností (ne fyzických osob)#nový kód
62#ateliéry# 
63#sklepy# 
64#garáže# 
65#kočárkárny, kolárny, sušárny#nový kód
67#motorová vozidla# 
68#pracovní stroje# 
69#velkovýkrmny# 
70#sušárny zemědělské# 
71#kůlny, stodoly, polní mlaty# 
72#sýpky a obilní sila# 
73#výrobny, přípravny a mísírny krmiv# 
74#chlévy a stáje# 
75#drůbežárny, kotce pro zvířata a ptáky# 
76#včelíny# 
77#stohy# 
78#produkty na polích a v sadech# 
79#lesní kultury# 
80#jiné objekty# 
