Kód#Heslo#Poznámka
11#operativní orgán OK# 
12#operativní orgán HK# 
13#operativní prostředky OK# 
14#operativní prostředky HK# 
15#pult centralizované ochrany# 
16#prostředky nástrahové techniky# 
17#inspekce Policie ČR# 
20#služba liniové ochrany železnic# 
21#pořádková služba# 
22#dopravní služba# 
23#obecní policie# 
24#inspektorát cizinecké policie# mezinárodní letiště
25#odbor cizinecké policie KŘP#změna textu
26#železniční policie# 
27#orgán oddělení doprovodu vlaku# 
28#orgán letecké policie# 
29#orgán ochranné služby# 
30#soukromá bezpečnostní služba# 
31#ostatní služby policie# 
32#odbor stížnosti a kontroly Policie ČR# 
33#útvar odhalování korupce a finanční kriminality SKPV PČR# 
34#orgán OSČ#odbor specializovaných činností
35#vojenská policie# 
36#supervize# 
37#státní zástupitelství# 
38#soudy# 
39#orgán FIPO#finanční policie, do 31.12.2006
41#vězeňská služba# 
43#SCP#orgán skupiny řízení šetření TČ a dokumentace
44#oddělení dokumentace OCP KŘP#změna textu
45#operativní orgán ÚOOZ# 
46#operativní prostředky ÚOOZ# 
47#operativní orgán NPC#Národní protidrogová centrála
51#organizace a jiné právnické osoby# 
55#lékař, zdravotní zařízení# 
61#kontrolní orgány# 
62#finanční orgány# 
63#živnostenské orgány# 
64#celní orgány# 
65#jiné orgány státní správy# 
66#FAÚ#finanční analytický útvar ministerstva financí
71#oznámení občany# 
81#jiný podnět# 
 # # 
