Kód#Heslo#Poznámka
##
#Osobní doklady a předtisky#
11#občanské průkazy# 
12#cestovní pasy# 
13#osobní průkazy a pasy zahraniční# 
14#formuláře (OP, pasy, různé jiné osobní průkazy)# 
15#vývozní a dovozní papíry vč.formulářů nevyplněných # 
16#řidičské průkazy# 
17#školní vysvědčení včetně vysokoškolských diplomů# 
18#razítka# 
19#ostatní - osobní doklady a předtisky# 
##
#Platidla#
20#platební karty# 
21#peníze# 
22#vkladní knížky# 
23#šekové knížky, jednotlivé šeky vč.cestovních# 
24#valuty a devizy - bankovky# 
25#valuty a devizy - mince# 
26#vkladové listy# 
27#poštovní známky a jiné ceniny (např. kolky)# 
28#poukázky na pohonné hmoty# 
29#ostatní - platidla# 
30#open card, permanentky, ISIC karty apod.# 
##
#Cennosti#
31#zlato nezpracované, slitky, zlomky# 
32#zlato zpracované a klenoty, šperky# 
33#ušlechtilé drahé kovy ostatní a výrobky z nich klenoty, drahokamy# 
34#mince zlaté# 
35#mince ostatní jednotlivé (numismaticky cenné)# 
36#vzácné nerosty (přírodní, syntetické kameny)# 
37#hodinky kapesní, náramkové aj., stolní, nástěnné  (s vyj. starožit. ad. 051)# 
39#ostatní - cennosti# 
##
#Poštovní známky, sbírky všeho druhu, cenné knihy, speciální literatura#
41#sbírky poštovních známek, nálepek apod.# 
42#sbírky numismatické# 
43#cenné knihy, včetně hist. rukopisů# 
44#speciální literatura (odborná) mimo běžné literatury a knih (kód 171)# 
49#ostatní - poštovní známky, sbírky všeho druhu, cenné knihy, spec. literatura# 
##
#Starožitnosti, umělecké předměty#
51#starožitnosti, (nábytek apod.)# 
52#historické zbraně# 
53#umělecká díla uvnitř (obrazy, sochy, rytiny, plastiky)# 
54#gobelíny, koberce (s uměleckou a historickou hodnotou)# 
55#bohoslužebné náčiní a roucha# 
56#umělecká díla na volném prostranství (obrazy, sochy, rytiny, plastiky)# 
57#náhrobky a pomníky# 
58#mosazné a bronzové příslušenství hrobů včetně uren# 
59#ostatní - starožitnosti, umělecké předměty# 
##
#Optika a foto-kino#
61#fotografické přístroje# 
62#snímací a promítací kinopřístroje# 
63#stat. projektory, zvětšovací přístroje, leštičky, sušičky# 
64#objektivy# 
65#dalekohledy# 
66#foto-kino materiál (filmy, papíry, vývojka apod.)# 
67#expozimetry apod.# 
68#brýle (dioptrické, sluneční)# 
69#ostatní (nivelační přístroje)# 
##
#Rádio, televize, zvukotechnika#
70#mobilní telefony# 
71#rozhlasové přijímače včetně autorádií# 
72#televizní přijímače# 
73#gramofony a magnetofony# 
74#zesilovače, reproduktory, mikrof., sluchátka# 
75#rádiové a televizní součástky# 
76#telefon. a radiokom. přístroje, telefaxy# 
77#videotechnika# 
78#satelitní antény# 
79#ostatní - zvukotechnika# 
##
#Přístroje do domácnosti a příslušenství#
81#elektrické spotřebiče lehké (žehličky, mixéry, vysoušeče vlasů, vysavače aj.)# 
82#elektrické spotřebiče těžké (pračky, odstředivky, chladničky, mrazničky)# 
83#topná zařízení (kamna, sporáky, vařiče neelektrické)# 
84#šicí a pletací stroje# 
85#svítidla, žárovky, výbojky, zářivky# 
86#kosmetické přístroje (včetně holících strojků)# 
87#propojovací kabely, nabíječky, dálkové ovladače, apod.# 
88#kuchyňské přístroje včetně nádobí a příborů# 
89#ostatní - přístroje do domácnosti a příslušenství# 
##
#Kancelářské stroje a potřeby#
91#psací stroje# 
92#rozmnožovací a reprod. stroje a přístroje# 
93#kalkulační počítače, fakturovací stroje# 
94#příslušenství ke kancelářským strojům# 
95#zařízení na zpracování informací a příslušenství k nim mimo výpočetní techniku# 
96#kancelářské potřeby# 
97#razítka, pečetidla# 
99#ostatní - kancelářské stroje a potřeby# 
##
#Stroje, přístroje a nástroje#
101#strojové výrobní prostředky v průmyslu a příslušenství# 
102#zemědělské stroje a příslušenství# 
103#invalidní vozíky, zdravotnické přístroje, lékařské nástroje a pomůcky# 
104#měřící přístroje, nářadí a pomůcky# 
105#nástroje a nářadí (včetně brousicích prostředků)# 
106#motory a pohonné agregáty ostatní# 
107#strojní součásti obecného použití (hřídele,ložiska aj.)  # 
109#ostatní - stroje, přístroje a nástroje# 
##
#Zbraně a výbušniny (mimo historických)#
111#krátké zbraně# 
112#dlouhé zbraně (kulové i brokové)# 
113#střelivo# 
114#výbušniny a pyrotech. výrobky# 
115#zbraně krátké startovací# 
116#jateční pistole apod.# 
119#ostatní - zbraně (mimo historických)# 
##
#Motorová vozidla dvoustopá#
120#automobil převážející finanční hotovost# 
121#osobní automobily# 
122#nákladní automobily a autobusy# 
123#traktory# 
124#součástky a náhradní díly k dvoustopým mot. vozidlům# 
125#tažné a stavební stroje spec. vozidla účelová# 
126#pneumatiky# 
127#přívěsy a závěsy za vozidla# 
128#karavany# 
129#ostatní - motorová vozidla dvoustopá# 
130#kolejová vozidla (lokomotivy, vagóny, metro, tramvaje)# 
##
#Motorová vozidla jednostopá#
131#motocykly, skútry# 
132#mopedy# 
133#tříkolky, čtyřkolky a motocykly s přívěs. vozíkem# 
134#součástky a náhradní díly, podsestavy k jednostopým mot.vozidlům# 
135#pneumatiky# 
139#ostatní - motorová vozidla jednostopá# 
##
#Jízdní kola a jejich příslušenství#
140#jízdní kola a jejich příslušenství# 
141#ochranné přilby# 
##
#Klíče#
145#klíče od domu, bytu# 
146#klíče od motorových vozidel# 
##
#Další dopravní prostředky#
148#lodě# 
##
#Textil a textilní výrobky#
151#tkaniny (metráž) včetně tkanin ze syntetických vláken# 
152#svrchní oblečení (včetně oděvů a pleteného zboží)# 
153#spodní oblečení a prádlo# 
154#oděvní doplňky textilní (kravaty, klobouky apod.)# 
155#lůžkoviny# 
156#deštníky v zahradních restauracích, zahradní deštníky, stříšky, markýzy# 
159#ostatní (včetně výrobků provaznických) - textil a textilní výrobky# 
##
#Kožedělné výrobky a galanterie#
161#kožené kabáty a kožené oděvní součástky ostatní# 
162#kufry, aktovky, kabelky, peněženky, pásky# 
163#obuv a obuvnický materiál z kůže, plast. hmot, pryže, textilu apod.# 
164#techn. sedlářské a galanterní výrobky z usní a jiných hmot (řemeny, rukavice, aktovky aj.)# 
165#kožešnické výrobky# 
166#koželužské výrobky (usně, odpady)# 
167#surové kožky a kožešiny (s vyjímkou předmětů s kódem 553)# 
169#ostatní - kožedělné výrobky a galanterie# 
##
#Výrobky kulturní spotřeby#
171#polygrafické výrobky (knihy, publikace, časopisy, reprodukce, noty aj. )# 
172#hudební nástroje# 
173#sportovní potřeby (včetně potřeb pro vodní sporty)# 
174#gram.desky,nahrané mag.pásky# 
175#videokazety, DVD a CD# 
179#ostatní (kopie filmů, hračky, společen.hry, propagační a ozdobný mater. apod.)# 
##
#Potraviny a lihoviny#
181#potraviny# 
182#mléko a mléčné výrobky (vč. másla)# 
183#jateční a výsekové maso, masné výrobky, sádlo, slanina a ost. masné výrobky# 
184#masné konzervy a hotová jídla v konzervách# 
185#cukrovinářské výrobky, včetně kakaa a čokolády# 
186#lihoviny,líh rafinovaný (čistý), vína, medoviny # 
187#pivo# 
189#ostatní - potraviny a lihoviny# 
##
#Tabákové výrobky#
191#tabákové výrobky# 
192#tabák# 
193#kuřácké potřeby (dýmky, špičky, cigaretové papírky)# 
199#ostatní - tabákové výrobky# 
##
#Zvířectvo#
200#malé domácí zvířectvo (kočky, psi, apod.)# 
201#velké domácí zvířectvo (hov.dobytek, koně, prasata aj.)# 
202#drůbež, králíci, holubi# 
203#kozy a ovce# 
204#zvířectvo polní a lesní a jejich vývojová stadia (kromě dravců, sov a zvěře spárkaté)# 
205#ryby a rybí násady# 
206#exotické zvířectvo (cizokrajné) a jejich vývojová stadia# 
207#zvířata kožešinová chovná (nutrie, norci, lišky)# 
208#zvěr spárkatá (tuzemská)# 
210#dravci a sovy (tuzemské druhy) a jejich vývojová stadia# 
209#ostatní - zvířectvo včetně včelstva# 
##
#Farmaceutické a omamné prostředky#
