1#základní škola – vyučen
2#základní škola – bez kvalifikace
3#střední škola
4#vysoká škola
5#zvláštní škola – vyučen
6#zvláštní škola – bez kvalifikace
7#neukončené základní vzdělání – vyučen
8#neukončené základní vzdělání – bez kvalifikace
0#cizinec, dítě nebo nezjištěno
