Kód#Heslo#
10#doly# 
11#plynárny# 
12#elektrárny# 
13#teplárny# 
14#energetické závody#nový kód
##
#Objekty stavební#
20#výrobní průmyslové podniky, závody# 
21#ostatní průmyslové podniky, závody# 
22#společnosti zahraniční (Knauf, apod.)# 
23#společnosti tuzemské (a.s., s.r.o.)# 
30#lomy a pískovny# 
31#cementárny a vápenky# 
32#stavební podniky, závody# 
33#podniky, závody, výrobny stavebních hmot (cihelny, panelárny aj.)# 
34#ostatní stavební podniky, závody# 
##
#Objekty dopravní#
40#dopravní podniky, závody# 
41#autoopravny# 
43#metro# 
44#mechanizační střediska# 
45#ostatní dopravní objekty# 
46#letiště# 
##
#Objekty železniční#
50#železniční stanice# 
53#překladiště# 
54#ostatní železniční objekty# 
##
##
#Objekty pošt a spojů#
60#EUROTEL, apod. organizace (prodejny)# 
70#poštovní úřady a jejich zařízení# 
71#TELECOM# 
72#další obdobné společnosti#nový kód
##
#Objekty zemědělské#
80#zemědělská družstva# 
81#státní statky# 
82#šlechtitelské a semenářské statky a stanice# 
83#plemenářské podniky, závody# 
84#soukromě hospodařící zemědělci# 
85#strojně traktorové stanice# 
86#opravny zemědělských strojů# 
87#veterinární zařízení# 
88#veterinární asanační ústavy# 
90#meliorační podniky družstevní# 
91#podniky, závody zemědělské stavby těžké meliorace# 
92#podniky zemědělského stavebnictví# 
93#ostatní zemědělské objekty# 
95#podniky rybářského průmyslu# 
96#objekty mysliveckých sdružení# 
97#objekty Svazu zahrádkářů a ovocnářů# 
100#nákupní a výkupní podniky# 
103#čistící a zemědělské stanice# 
##
#Objekty potravinářského průmyslu#
110#mlékárny a sýrárny# 
111#jatky# 
112#mlýny a pekárny# 
113#podniky, závody tukového průmyslu# 
114#cukrovary# 
115#lihovary# 
116#konzervárny# 
117#pivovary a sladovny# 
118#mrazírny# 
119#podniky, závody tabákového průmyslu# 
120#čokoládovny a podniky výroby cukrovinek# 
121#vinařské podniky a závody# 
122#škrobárny# 
123#podniky, závody mléčné výživy# 
124#podniky, závody trvanlivého pečiva# 
125#ostatní potravinářské podniky a závody# 
##
#Objekty lesního hospodářství#
130#lesní podniky a závody# 
131#podniky, závody pod odbornou správou# 
132#podniky a závody vojenských lesů# 
133#ostatní objekty lesního hospodářství# 
##
#Objekty vodního hospodářství#
140#správa povodí# 
141#podniky, závody zásobování vodou a kanalizace# 
142#ostatní objekty vodního hospodářství# 
##
#Prodejny#
170#čerpací stanice PHM# 
