56#maringotky# 
61#byty a rodinné domy#změna
62#ateliéry# 
63#dílny# 
64#garáže# 
65#víkendové chaty# 
66#obytné lodě a přívěsy# 
67#motorová vozidla# 
68#hrobky# 
71#stodoly a kůlny# 
74#chlévy a stáje# 
75#kotce a chlívky# 
76#včelíny# 
77#stohy a seníky# 
78#produkty na polích# 
81#předsíně# 
82#spíže# 
83#komory# 
84#sklepy# 
85#půdy a balkóny# 
86#prádelny# 
87#sušárny# 
88#chodby v činžovních domech a v rodin.vilách# 
89#zahradní boudy a altány# 
90#lodě sportovní a turistické# 
91#dvory a zahrady# 
92#koupaliště, řeky, rybníky#(volně odložené věci)
93#staveniště a novostavby#(nezkolaudované)
94#osobní věci a zboží z nákupních vozíků a košíků mimo nákupní prostor#(ne krádeže na osobách)
95#jiné objekty# 
98#podvody a zpronevěry# 
