Kód#Heslo##
0#nesledované - nepřichází v úvahu##
1#autodoprava a garážování##
2#celní poplatky##
3#cestovní a turistický ruch##
4#činnost odborových složek a jejich zařízení##
5#členské podíly a příspěvky společen. organizací##
6#daň z příjmu obyvatelstva##
7#daň z přidané hodnoty##
8#důchody##
9#fakturace##
10#financování##
11#inkaso poplatků##
12#investiční činnost##
14#montážní činnost##
15#MTZ materiálově technické zabezpečení##(včetně podnikového)
16#nákladní přeprava vlastní##
17#nákladní přeprava prováděná jinou organizací##
18#nákladní přeprava prováděná soukromou osobou##
19#nákup v maloobchodní síti za hotové##(zásobování)
20#nemocenské dávky##
21#odbyt a prodej mezi podniky##
22#oddělení PAM##(práce a mzdy)
23#odvody do státního rozpočtu##
24#osobní přeprava##
25#ostatní daně, poplatky a odvody##
26#ostatní sociální dávky a příspěvky##
29#podnikové spoření##
30#polytechnická výchova##(výrobní činnost odborných a vysokých škol)
31#pomocné provozy##
32#prodej běžný ve stálých prodejnách a provozovnách##(mimo dále uvedených)
33#prodej komisní##
34#prodej ambulantní##
35#prodej pojízdný##
36#prodej stánkový##
38#propagace a reklama##
39#přídavky na děti##
41#rekreační činnost##
42#reprezentační fondy##
43#režie##
45#sázkové sběrny##
46#sběrová, šrotová činnost##
47#servisní služba##
48#skladová činnost - příjem zboží##
49#skladová činnost - expedice zboží##
50#skladování výrobků a surovin##
51#skladová činnost manipulační##
52#směnárenská činnost##
53#služby obyvatelstvu##
55#soukromá výroba a služby##
56#soukromá zemědělská výroba##
57#správní a řídicí činnost##
58#styk s cizinci a cizinou##(pří stycích obchodních, kulturních, sportovních apod.)
59#ubytovací činnost##
60#účetnictví provozní##
61#účetnictví materiálové##
62#účetnictví mzdové##
63#učňovská a výcviková činnost##
64#údržba stavební##
65#údržba ostatní##
66#vedlejší pracovní poměr nebo na základě dohod##
67#výkup a nákup##
71#zastupitelská a zprostředkovatelská činnost##
72#závodní stravování##
73#podnikové obalové hospodářství##
74#prodej losů##
75#režijní jízdné a přepravné##
76#jiné zvýhodnění zaměstnanců##(deputátní uhlí, cukr, elektřina aj.)
77#sběrny objednávek na zakázky nebo služby##
78#vzorkovny apod.##
79#informatika a výpočetní technika##
