1#svobodný/svobodná
2#ženatý/vdaná
3#rozvedený/rozvedená
4#ovdovělý/ovdovělá
5#druh/družka svobodný/svobodná
6#druh/družka rozvedený/rozvedená
7#druh/družka ovdovělý/ovdovělá
8#ženatý/vdaná žijící s osobou opačného pohlaví mimo své manželství
0#nezjištěno
