kód#název útvaru#území#SM#stav#přebírá#poznámka
0000#KŘP HL. M. PRAHY#N#N# # #
000000#ETŘ KŘPA#N#N# # #
000005#ODB. VYŠETŘOVÁNÍ DN SKPV KŘPA#N#N# # #
000006#ODN KŘPA#N#N# # #
000007#ODD. ŘÍZENÍ DOPRAVY KŘPA#N#N# # #
000050#ODD. DOPROVODU VLAKŮ KŘPA#N#N# # #
000054#METRO PRAHA#N#N# # #
000057#POŘÍČNÍ ODD. PRAHA#N#N# # #
000065#PMJ KŘPA#N#N# # #
000066#OVK KŘPA#N#N# # #
000068#ODD. SLUŽEBNÍ HIPOLOGIE KŘPA#N#N# # #
000070#OOK - SKPV KŘPA#N#N# # #
000071#OOK - 1.ODD. KŘPA#N#N# # #
000072#OOK - 2.ODD. KŘPA#N#N# # #
000073#OOK - 3.ODD. KŘPA#N#N# # #
000074#OOK - 4.ODD. KŘPA#N#N# # #
000075#OOK - 5.ODD. KŘPA#N#N# # #
000076#OOK - 6.ODD. KŘPA#N#N# # #
000077#OOK - 7.ODD. KŘPA#N#N# # #
000086#ODD. PROTIDROGOVÉ OOZOK KŘPA#N#N# # #
000088#ODD. EXTREMISMU OOZOK KŘPA#N#N# # #
000090#OHK - SKPV KŘPA#N#N# # #
000091#OHK - 1.ODD. KŘPA#N#N# # #
000092#OHK - 2.ODD. KŘPA#N#N# # #
000093#OHK - 3.ODD. KŘPA#N#N# # #
000094#OHK - 4.ODD. KŘPA#N#N# # #
000095#OHK - 5.ODD. KŘPA#N#N# # #
000096#OHK - 6.ODD. KŘPA#N#N# # #
000097#OHK - 7.ODD. KŘPA#N#N# # #
000098#OHK - 8.ODD. KŘPA#N#N# # #
0011#OŘP PRAHA I.#N#N# # #
001105#ETŘ OŘP PRAHA I.#N#N# # #
001106#DI OŘP PRAHA I.#N#N# # #
001110#MOP BARTOLOMĚJSKÁ PRAHA I.#A#A# # #
001111#MOP BENEDIKTSKÁ PRAHA I.#A#A# # #
001112#MOP MALÁ STRANA PRAHA I.#A#A# # #
001113#MOP MŮSTEK PRAHA I.#N#N# # #
001114#MOP KRAKOVSKÁ PRAHA I.#A#A# # #
001115#MOP BŘEVNOV PRAHA I.#A#A# # #
001116#MOP DEJVICE PRAHA I.#A#A# # #
