0#nezjištěno# 
1#vedoucí organizace, útvaru a jeho zástupce# 
2#vedoucí odboru - oddělení# 
3#vedoucí pracovník – specialista#u policisty myšlen posluchač, student
4#mistr nebo nižší vedoucí pracovník#u policisty myšlen policista v záloze
5#mistr nebo nižší vedoucí pracovník# 
6#běžný pracovník, zaměstnanec, referent, dělník# 
7#pomocný pracovník, pomocný dělník# 
8#nepřichází v úvahu# 
9#brigádník# 
A#pracující důchodce # 
B#pracující důchodce - invalidní# 
