Kód#Heslo
1#nedostatečná vnitropodniková kontrola a kontrola nadřízených složek
2#nepořádek, chaos v dokladech nebo evidencích
3#nedostatečné předpisy a normy
4#nedostatečná ostraha a zabezpečení objektů (včetně kontroly u východu - výjezdů)
5#nedostatečná přejímka dodávek, tržeb
6#spojení pachatelů uvnitř objektů
7#spojení pachatelů s dodavateli nebo odběrateli
8#účast revizních a kontrolních pracovníků
9#účast inventurních pracovníků na tr. činnosti
10#účast vedoucích pracovníků na tr. činnosti
11#slučování funkcí
12#obsazování hmotně odpovědných funkcí osobami již dříve trestanými pro úmyslnou trestnou činnost obecné nebo hospodářské povahy
13#drobné rozkrádání zaměstnanci v širším měřítku bez postihu, nedůsledné řešení drobných poklesků vedením podniku a odbor. složkami
14#uplácení nebo kompromitování vedoucích pracovníků
15#uplácení nebo kompromitování kontrolních a revizních pracovníků vnitropodnikových nebo nadřízených složek
16#nedodržení podmínek vyplývající z obchodní činnosti (nesolventnost podnikatele, předložení falešných dokladů)
17#ostatní okolnosti
