Kód#Heslo#
1#rodina# 
2#manželský pár# 
3#milenecký pár# 
4#spoluzaměstnanci# 
5#spolužáci# 
6#důchodci# 
7#svěřenci# 
10#spolubydlící (mimo rodinu)# 
8#ostatní složení skupiny# 
9#nepřichází v úvahu# 
