1#kriminální policie a vyšetřování# 
2#pořádková# 
3#dopravní# 
4#správní# 
6#personální# 
7#týlová# 
8#zdravotní a sociální# 
9#kontrolní u PČR# 
10#policejní akademie#včetně posluchačů
11#střední policejní škola MV ČR#včetně posluchačů
12#cizinecká a pohraniční# 
13#ochranná služba ústavních činitelů# 
14#útvar rychlého nasazení# 
15#ochrana prezidenta republiky# 
16#ÚOOZ SKPV# 
17#ÚOKFK SKPV# 
18#ÚZČ SKPV# 
19#ÚSČ SKPV# 
20#NPC SKPV# 
21#ÚDVZK SKPV# 
22#letecká služba# 
23#ostatní útvary policejní prezidium# 
24#KÚ Praha# 
25#OKTE# 
26#železniční# 
70#ÚZSI# 
71#inspekce Policie ČR# 
98#jiné útvary MV# 
99#jiné služby PČR# 
