601#vlastní dítě# 
602#dítě v pěstounské péči# 
603#dítě, kde jeden z rodičů je druh-družka, přítel# 
604#dítě v blízkém příbuzenském vztahu#(bratr, sestra, vnuk apod.)
605#dítě ve vzdáleném příbuzenském poměru#(synovec, neteř apod.)
606#dítě svěřené k dozoru#(vychovatel, učitel, trenér apod.)
607#dítě ve vztahu spolužáka, kamaráda# 
608#dítě ve vztahu ke známé osobě#(soused, známý rodiny apod.)
609#manželka# 
610#družka, žena ve společné domácnosti# 
611#manžel# 
612#druh, muž ve společné domácnosti# 
613#dospělá osoba v ostatním příbuzenském vztahu#(než uvedené)
614#dospělá osoba s jiným vztahem#(mimo kód 617, 618, 619)
615#matka# 
616#otec# 
617#spolubydlící#(mimo výše uvedené - bez vztahu)
618#podnájemník# 
619#registrovaný/á partner/ka# 
620#bez vztahu# 
621#bratr# 
622#sestra# 
623#manžel - v rozvodovém řízení# 
624#manželka - v rozvodovém řízení# 
625#bývalý manžel/partner# 
626#bývalá manželka/partnerka# 
627#spolupracovník#(včetně nadřízeného a podřízeného)
628#bývalý/á přítel/přítelkyně#Nový kód
629#mediálně známá osobnost - celebrita#Nový kód
