##
501#textil# 
502#obuv# 
503#elektronika# 
504#potraviny# 
505#lihoviny# 
509#ostatní k § 150 - Porušování práv k ochranné známce, obchodnímu jménu a chráněnému označení původu# 
##
#§ 152 - Porušování autorského práva#
521#audio# 
522#video# 
523#veřejné produkce# 
524#výtvarná a umělecká díla# 
525#filmová díla# 
526#literární díla# 
527#programy počítačů# 
528#práva výkonných umělců# 
535#ostatní k § 152 - Porušování autorského práva# 
##
#§§ 181a, 181b - Ohrožení životního prostředí#
541#ovzduší# 
542#voda# 
543#půda# 
544#flóra# 
545#fauna# 
546#ekosystémy# 
547#energie# 
549#ostatní k §§ 181a, 181b - Ohrožení životního prostředí# 
##
#Ohrožení životního prostředí - specifické předměty#
551#jeseteří kaviár#
552#asijská medicína obsahující části těl ohrožených živočichů#
553#lovecké trofeje, preparovaní živočichové a jejich části#lovecké trofeje čerstvé i preparované, vycpaniny celých zvířat, nevyčiněné a vyčiněné kůže, lebky s toulci, rohovina,korály apod.
554#shozy paroží#
555#ohrožené rostliny - tuzemské#chráněné tuzemské rostliny
556#ohrožené rostliny - exotické - dovozy#chráněné dovážené exotické rostliny
557#ohrožené rostliny - exotické - pěstované v kultuře v ČR#chráněné exotické rostliny pěstované v kultuře v ČR
