01#01##Benešov#1#
01#02##Beroun#1#
06#01##Blansko#1#
06#02##Brno město#1#
06#03##Brno venkov#1#
07#01##Bruntál#1#
06#04##Břeclav#1#
04#01##Česká Lípa#1#
02#01##České Budějovice#1#
02#02##Český Krumlov#1#
04#02##Děčín#1#
03#01##Domažlice#1#
07#02##Frýdek-Místek#1#
06#16##Havlíčkův Brod#1#
06#06##Hodonín#1#
05#02##Hradec Králové#1#
03#02##Cheb#1#
04#03##Chomutov#1#
05#03##Chrudim#1#
04#04##Jablonec nad Nisou#1#
07#11##Jeseník#1#
05#04##Jičín#1#
06#07##Jihlava#1#
02#03##Jindřichův Hradec#1#
03#03##Karlovy Vary#1#
07#03##Karviná#1#
01#03##Kladno#1#
03#04##Klatovy#1#
01#04##Kolín#1#
06#08##Kroměříž#1#
01#05##Kutná Hora#1#
04#05##Liberec#1#
04#06##Litoměřice#1#
04#07##Louny#1#
01#06##Mělník#1#
01#07##Mladá Boleslav#1#
04#08##Most#1#
05#05##Náchod#1#
07#04##Nový Jičín#1#
01#08##Nymburk#1#
07#05##Olomouc#1#
07#06##Opava#1#
07#07##Ostrava#1#
05#06##Pardubice#1#
06#17##Pelhřimov#1#
02#05##Písek#1#
03#05##Plzeň město#1#
03#06##Plzeň jih#1#
03#07##Plzeň sever#1#
01#09##Praha východ#1#
01#10##Praha západ#1#
01#13##Praha venkov#1#
01#14##Praha venkov jih#1#
01#15##Praha venkov východ#1#
00#01##Praha 1#1#
00#10##Praha 10#1#
00#02##Praha 2#1#
00#03##Praha 3#1#
00#04##Praha 4#1#
00#05##Praha 5#1#
00#06##Praha 6#1#
00#07##Praha 7#1#
00#08##Praha 8#1#
00#09##Praha 9#1#
00#11##Praha I.#1#
00#12##Praha II.#1#
00#13##Praha III.#1#
00#14##Praha IV.#1#
02#06##Prachatice#1#
07#12##Prostějov#1#
07#08##Přerov#1#
01#11##Příbram#1#
01#12##Rakovník#1#
03#08##Rokycany#1#
05#07##Rychnov nad Kněžnou#1#
04#11##Semily#1#
03#09##Sokolov#1#
02#07##Strakonice#1#
05#09##Svitavy#1#
07#09##Šumperk#1#
02#08##Tábor#1#
03#10##Tachov#1#
04#09##Teplice#1#
05#10##Trutnov#1#
06#10##Třebíč#1#
06#11##Uherské Hradiště#1#
04#10##Ústí nad Labem#1#
05#11##Ústí nad Orlicí#1#
06#15##Vsetín#1#
06#12##Vyškov#1#
06#05##Zlín#1#
06#13##Znojmo#1#
06#14##Žďár nad Sázavou#1#
07#41##Letiště Mošnov#1#
06#41##Letiště Tuřany#1#
01#16##Praha venkov západ#1#
00#41##Letiště Ruzyně#1#
00#50##Krajské ředitelství policie hlavního města Prahy - neznámý 0050#1#
00#90##Krajské ředitelství policie hlavního města Prahy - neznámý 0090#1#
00#92##Krajské ředitelství policie hlavního města Prahy - neznámý 0092#1#
00#93##Krajské ředitelství policie hlavního města Prahy - neznámý 0093#1#
01#90##Krajské ředitelství policie Středočeského kraje - neznámý 0190#1#
02#90##Krajské ředitelství policie Jihočeského kraje - neznámý 0290#1#
03#90##Krajské ředitelství policie Západočeského kraje - neznámý 0390#1#
04#90##Krajské ředitelství policie Severočeského kraje - neznámý 0490#1#
05#90##Krajské ředitelství policie Východočeského kraje - neznámý 0590#1#
06#90##Krajské ředitelství policie Jihomoravského kraje - neznámý 0690#1#
07#90##Krajské ředitelství policie Severomoravského kraje - neznámý 0790#1#
00#51##Krajské ředitelství policie hlavního města Prahy - neznámý 0051#1#
00#58##Krajské ředitelství policie hlavního města Prahy - neznámý 0058#1#
07#51##Krajské ředitelství policie Severomoravského kraje - neznámý 0751#1#
07#53##Krajské ředitelství policie Severomoravského kraje - neznámý 0753#1#
