00#00#00#ETŘ KŘPA#1#0000
00#00#03#KŘP HL. M. PRAHY - neznámý 000003#1#0000
00#00#04#KŘP HL. M. PRAHY - neznámý 000004#1#0000
00#00#05#ODB. VYŠETŘOVÁNÍ DN SKPV KŘPA#1#0000
01#00#00#ETŘ KŘPS#1#0001
02#00#00#ETŘ KŘPC#1#0002
02#00#03#KŘP JIHOČESKÉHO KRAJE - neznámý 020003#1#0002
02#00#04#KŘP JIHOČESKÉHO KRAJE - neznámý 020004#1#0002
02#00#80#ODBOR HOSP. KRIMINALITY KŘPC#1#0002
03#00#00#ETŘ KŘPP#1#0003
03#00#22#KŘP PLZEŇSKÉHO KRAJE - neznámý 030022#1#0003
04#00#00#ETŘ KŘPU#1#0004
04#00#03#KŘP ÚSTECKÉHO KRAJE - neznámý 040003#1#0004
04#00#04#KŘP ÚSTECKÉHO KRAJE - neznámý 040004#1#0004
04#00#40#DÁLNIČNÍ ODD. ŘEHLOVICE#1#0004
05#00#00#ETŘ KŘPH#1#0005
05#00#03#KŘP KRÁLOVEHRADECKÉHO KRAJE - neznámý 050003#1#0005
06#00#00#ETŘ KŘPB#1#0006
06#00#03#KŘP JIHOMORAVSKÉHO KRAJE - neznámý 060003#1#0006
06#00#40#DÁLNIČNÍ ODD. DOMAŠOV#1#0006
06#00#50#OŽP KŘPB#1#0006
07#00#00#ETŘ KŘPT#1#0007
07#00#03#KŘP MORAVSKOSLEZSKÉHO KRAJE - neznámý 070003#1#0007
07#00#04#KŘP MORAVSKOSLEZSKÉHO KRAJE - neznámý 070004#1#0007
07#00#20#KŘP MORAVSKOSLEZSKÉHO KRAJE - neznámý 070020#1#0007
07#00#50#OŽP A DOPROVODU VLAKŮ#1#0007
14#00#00#ETŘ KŘPM#1#0014
15#00#00#ETŘ KŘPZ#1#0015
16#00#00#ETŘ KŘPJ#1#0016
17#00#00#ETŘ KŘPE#1#0017
18#00#00#ETŘ KŘPL#1#0018
19#00#00#ETŘ KŘPK#1#0019
