00#00##Praha#0#
01#00##Středočeský#0#
02#00##Jihočeský#0#
03#00##Západočeský#0#
04#00##Severočeský#0#
05#00##Východočeský#0#
06#00##Jihomoravský#0#
07#00##Severomoravský#0#
